candidate,pass,check,status,count,worst_distance,limit_low,limit_high,worst_atom_index_1based,partner_atom_index_1based
001-exploration/silica_water/candidates_001_silica_water.xyz,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000001,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000002,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000003,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000004,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000005,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000006,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000007,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000008,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000009,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000010,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000011,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000012,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000013,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000014,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000015,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000016,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000017,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000018,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000019,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000020,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000021,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000022,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000023,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000024,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000025,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000026,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000027,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000028,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000029,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000030,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000031,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000032,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000033,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000034,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000035,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000036,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000037,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000038,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000039,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000040,True,,,,,,,,
001-exploration/silica_water/candidates_001_silica_water.xyz:frame_000041,True,,,,,,,,
001-exploration/silica_water/1/00001/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/1/00002/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/1/00003/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/2/00001/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/2/00002/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/2/00003/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/3/00001/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/3/00002/silica_water.lmp,True,,,,,,,,
001-exploration/silica_water/3/00003/silica_water.lmp,True,,,,,,,,
